# W[k] = exp(-j*2*pi*k/256)
# k, Re(W[k]), Im(W[k])
 51, +0.313681740398892, -0.949528180593037
 52, +0.290284677254462, -0.956940335732209
 53, +0.266712757474898, -0.963776065795440
 54, +0.242980179903264, -0.970031253194544
 55, +0.219101240156870, -0.975702130038529
 56, +0.195090322016128, -0.980785280403230
 57, +0.170961888760301, -0.985277642388941
 58, +0.146730474455362, -0.989176509964781
 59, +0.122410675199216, -0.992479534598710
 60, +0.098017140329561, -0.995184726672197
 61, +0.073564563599667, -0.997290456678690
 62, +0.049067674327418, -0.998795456205172
 63, +0.024541228522912, -0.999698818696204
 64, +0.000000000000000, -1.000000000000000
 65, -0.024541228522912, -0.999698818696204
 66, -0.049067674327418, -0.998795456205172
 67, -0.073564563599667, -0.997290456678690
 68, -0.098017140329561, -0.995184726672197
 69, -0.122410675199216, -0.992479534598710
 70, -0.146730474455362, -0.989176509964781
 71, -0.170961888760301, -0.985277642388941
 72, -0.195090322016128, -0.980785280403230
 73, -0.219101240156870, -0.975702130038529
 74, -0.242980179903264, -0.970031253194544
 75, -0.266712757474898, -0.963776065795440
 76, -0.290284677254462, -0.956940335732209
 77, -0.313681740398891, -0.949528180593037
 78, -0.336889853392220, -0.941544065183021
 79, -0.359895036534988, -0.932992798834739
 80, -0.382683432365090, -0.923879532511287
 81, -0.405241314004990, -0.914209755703531
 82, -0.427555093430282, -0.903989293123443
 83, -0.449611329654607, -0.893224301195515
 84, -0.471396736825998, -0.881921264348355
 85, -0.492898192229784, -0.870086991108711
 86, -0.514102744193222, -0.857728610000272
 87, -0.534997619887097, -0.844853565249707
 88, -0.555570233019602, -0.831469612302545
 89, -0.575808191417845, -0.817584813151584
 90, -0.595699304492433, -0.803207531480645
 91, -0.615231590580627, -0.788346427626606
 92, -0.634393284163645, -0.773010453362737
 93, -0.653172842953777, -0.757208846506485
 94, -0.671558954847018, -0.740951125354959
 95, -0.689540544737067, -0.724247082951467
 96, -0.707106781186547, -0.707106781186548
 97, -0.724247082951467, -0.689540544737067
 98, -0.740951125354959, -0.671558954847019
 99, -0.757208846506485, -0.653172842953777
100, -0.773010453362737, -0.634393284163645
101, -0.788346427626606, -0.615231590580627
102, -0.803207531480645, -0.595699304492433
103, -0.817584813151584, -0.575808191417845
104, -0.831469612302545, -0.555570233019602
105, -0.844853565249707, -0.534997619887097
106, -0.857728610000272, -0.514102744193222
107, -0.870086991108711, -0.492898192229784
108, -0.881921264348355, -0.471396736825998
109, -0.893224301195515, -0.449611329654607
110, -0.903989293123443, -0.427555093430282
111, -0.914209755703531, -0.405241314004990
112, -0.923879532511287, -0.382683432365090
113, -0.932992798834739, -0.359895036534988
114, -0.941544065183021, -0.336889853392220
115, -0.949528180593037, -0.313681740398891
116, -0.956940335732209, -0.290284677254462
117, -0.963776065795440, -0.266712757474898
118, -0.970031253194544, -0.242980179903264
119, -0.975702130038528, -0.219101240156870
120, -0.980785280403230, -0.195090322016129
121, -0.985277642388941, -0.170961888760301
122, -0.989176509964781, -0.146730474455362
123, -0.992479534598710, -0.122410675199216
124, -0.995184726672197, -0.098017140329561
125, -0.997290456678690, -0.073564563599668
126, -0.998795456205172, -0.049067674327418
127, -0.999698818696204, -0.024541228522912
128, -1.000000000000000, -0.000000000000000
129, -0.999698818696204, +0.024541228522912
130, -0.998795456205172, +0.049067674327418
131, -0.997290456678690, +0.073564563599667
132, -0.995184726672197, +0.098017140329561
133, -0.992479534598710, +0.122410675199216
134, -0.989176509964781, +0.146730474455362
135, -0.985277642388941, +0.170961888760301
136, -0.980785280403230, +0.195090322016128
137, -0.975702130038529, +0.219101240156870
138, -0.970031253194544, +0.242980179903264
139, -0.963776065795440, +0.266712757474898
140, -0.956940335732209, +0.290284677254462
141, -0.949528180593037, +0.313681740398891
142, -0.941544065183021, +0.336889853392220
143, -0.932992798834739, +0.359895036534988
144, -0.923879532511287, +0.382683432365090
145, -0.914209755703531, +0.405241314004990
146, -0.903989293123443, +0.427555093430282
147, -0.893224301195515, +0.449611329654607
148, -0.881921264348355, +0.471396736825998
149, -0.870086991108711, +0.492898192229784
150, -0.857728610000272, +0.514102744193222
151, -0.844853565249707, +0.534997619887097
152, -0.831469612302545, +0.555570233019602
153, -0.817584813151584, +0.575808191417845
154, -0.803207531480645, +0.595699304492433
155, -0.788346427626606, +0.615231590580627
156, -0.773010453362737, +0.634393284163645
157, -0.757208846506485, +0.653172842953777
158, -0.740951125354959, +0.671558954847018
159, -0.724247082951467, +0.689540544737067
160, -0.707106781186548, +0.707106781186547
161, -0.689540544737067, +0.724247082951467
162, -0.671558954847019, +0.740951125354959
163, -0.653172842953777, +0.757208846506484
164, -0.634393284163646, +0.773010453362737
165, -0.615231590580627, +0.788346427626606
166, -0.595699304492433, +0.803207531480645
167, -0.575808191417845, +0.817584813151584
168, -0.555570233019602, +0.831469612302545
169, -0.534997619887097, +0.844853565249707
170, -0.514102744193222, +0.857728610000272
171, -0.492898192229784, +0.870086991108711
172, -0.471396736825998, +0.881921264348355
173, -0.449611329654607, +0.893224301195515
174, -0.427555093430282, +0.903989293123443
175, -0.405241314004990, +0.914209755703530
176, -0.382683432365090, +0.923879532511287
177, -0.359895036534988, +0.932992798834739
178, -0.336889853392220, +0.941544065183021
179, -0.313681740398891, +0.949528180593037
180, -0.290284677254462, +0.956940335732209
181, -0.266712757474899, +0.963776065795440
182, -0.242980179903264, +0.970031253194544
183, -0.219101240156870, +0.975702130038528
184, -0.195090322016129, +0.980785280403230
185, -0.170961888760302, +0.985277642388941
186, -0.146730474455362, +0.989176509964781
187, -0.122410675199216, +0.992479534598710
188, -0.098017140329560, +0.995184726672197
189, -0.073564563599667, +0.997290456678690
190, -0.049067674327418, +0.998795456205172
191, -0.024541228522912, +0.999698818696204
192, -0.000000000000000, +1.000000000000000
